Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
1000,1000,Radix Sort,Reverse Sorted,225214.9,0.000225215,2535.9,220542.0,249542.0,Success
1000,1000,Counting Sort,Reverse Sorted,134653.6,0.000134654,2208.4,132250.0,152000.0,Success
1000,1000,Shell Sort,Almost Sorted,516433.5,0.000516434,24299.8,443625.0,626416.0,Success
1000,1000,Heap Sort,Almost Sorted,108185.8,0.000108186,2161.9,104583.0,125167.0,Success
1000,1000,Merge Sort,Almost Sorted,1004251.4,0.001004251,8713.3,976083.0,1052042.0,Success
1000,1000,Quick Sort,Almost Sorted,1143256.7,0.001143257,44173.5,1047625.0,1327625.0,Success
1000,1000,Timsort (built-in),Almost Sorted,12446.4,0.000012446,898.5,9750.0,21500.0,Success
1000,1000,Timsort (custom),Almost Sorted,514555.2,0.000514555,8423.0,492125.0,551542.0,Success
1000,1000,Radix Sort,Almost Sorted,180191.9,0.000180192,1823.4,177042.0,196541.0,Success
1000,1000,Counting Sort,Almost Sorted,139830.1,0.000139830,2072.8,135667.0,154084.0,Success
1000,1000,Shell Sort,Half Sorted,758188.4,0.000758188,27600.7,698917.0,928208.0,Success
1000,1000,Heap Sort,Half Sorted,111595.9,0.000111596,1838.3,108333.0,122042.0,Success
