Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
100000,10,Python Timsort,Floats,0.009839,Success
100000,10,Radix Sort,Floats,,Skipped — integers only
100000,10,Shell Sort,Strings,0.285188,Success
100000,10,Heap Sort,Strings,0.034672,Success
100000,10,Merge Sort,Strings,0.158236,Success
100000,10,Quick Sort,Strings,0.192645,Success
100000,10,Python Timsort,Strings,0.014375,Success
100000,10,Radix Sort,Strings,,Skipped — integers only
1000000,1,Shell Sort,Random Ints,5.120206,Success
1000000,1,Heap Sort,Random Ints,0.745895,Success
1000000,1,Merge Sort,Random Ints,1.917300,Success
1000000,1,Quick Sort,Random Ints,2.143606,Success
1000000,1,Python Timsort,Random Ints,0.150170,Success
1000000,1,Radix Sort,Random Ints,0.848897,Success
1000000,1,Shell Sort,Sorted Ints,0.961344,Success
1000000,1,Heap Sort,Sorted Ints,0.257628,Success
1000000,1,Merge Sort,Sorted Ints,1.418039,Success
1000000,1,Quick Sort,Sorted Ints,1.851532,Success
1000000,1,Python Timsort,Sorted Ints,0.003498,Success
1000000,1,Radix Sort,Sorted Ints,0.423312,Success
1000000,1,Shell Sort,Reverse Sorted,1.440647,Success
1000000,1,Heap Sort,Reverse Sorted,0.212721,Success
1000000,1,Merge Sort,Reverse Sorted,1.450004,Success
1000000,1,Quick Sort,Reverse Sorted,1.907124,Success
1000000,1,Python Timsort,Reverse Sorted,0.005350,Success
1000000,1,Radix Sort,Reverse Sorted,0.487011,Success
1000000,1,Shell Sort,Almost Sorted,2.561470,Success
1000000,1,Heap Sort,Almost Sorted,0.287819,Success
1000000,1,Merge Sort,Almost Sorted,1.669354,Success
1000000,1,Quick Sort,Almost Sorted,1.989318,Success
1000000,1,Python Timsort,Almost Sorted,0.033712,Success
1000000,1,Radix Sort,Almost Sorted,0.484287,Success
1000000,1,Shell Sort,Half Sorted,4.133066,Success
1000000,1,Heap Sort,Half Sorted,0.492394,Success
1000000,1,Merge Sort,Half Sorted,1.670844,Success
1000000,1,Quick Sort,Half Sorted,1.966768,Success
1000000,1,Python Timsort,Half Sorted,0.075521,Success
1000000,1,Radix Sort,Half Sorted,0.626331,Success
1000000,1,Shell Sort,Flat (Few Unique),0.999626,Success
1000000,1,Heap Sort,Flat (Few Unique),0.157288,Success
1000000,1,Merge Sort,Flat (Few Unique),1.583329,Success
1000000,1,Quick Sort,Flat (Few Unique),0.132527,Success
1000000,1,Python Timsort,Flat (Few Unique),0.039397,Success
1000000,1,Radix Sort,Flat (Few Unique),0.076017,Success
1000000,1,Shell Sort,Floats,5.060065,Success
1000000,1,Heap Sort,Floats,0.753849,Success
1000000,1,Merge Sort,Floats,1.892099,Success
1000000,1,Quick Sort,Floats,2.226179,Success
1000000,1,Python Timsort,Floats,0.148325,Success
1000000,1,Radix Sort,Floats,,Skipped — integers only
1000000,1,Shell Sort,Strings,5.559434,Success
1000000,1,Heap Sort,Strings,0.790997,Success
1000000,1,Merge Sort,Strings,2.161371,Success
1000000,1,Quick Sort,Strings,2.570922,Success
1000000,1,Python Timsort,Strings,0.229685,Success
1000000,1,Radix Sort,Strings,,Skipped — integers only
